WKT,name,description
"POINT (47.961226 29.241057)",15R,
"POINT (47.982863 29.242209)",15L,
"POINT (47.999105 29.211612)",33R,
"POINT (47.976579 29.212162)",33L,
"POINT (47.92932 29.301583)",ARR1,
"POINT (47.949978 29.302269)",ARR2,
"POINT (48.03102 29.151143)",ARR3,
"POINT (48.008649 29.151739)",ARR4,
"POINT (47.923535 29.337404)",KUA01,
"POINT (48.050556 29.121864)",KUA02,
"POINT (48.305278 29.436389)",RALKA,RALKA (Fix)
"POINT (48.069597 29.122474)",KUA03,
"POINT (48.079408 29.136753)",KUA04,
"POINT (47.932161 29.352275)",KUA05,
"POINT (47.950751 29.355897)",KUA06,
"POINT (48.272633 29.418749)",KUA07,
"POINT (48.406111 29.341667)",ALVAX,ALVAX (Fix)
"POINT (48.06959 29.12247)",KUA08,
"POINT (47.93216 29.35227)",KUA09,
"POINT (47.949047 29.360585)",KUA10,
"POINT (48.369259 29.333149)",KUA11,
"POINT (48.913889 29.15)",SESRU,SESRU (Fix)
"POINT (47.93216 29.35227)",KUA12,
"POINT (47.949382 29.359517)",KUA13,
"POINT (48.875924 29.152683)",KUA14,
"POINT (48.490278 28.735278)",DEBTI,DEBTI (Fix)
"POINT (47.93216 29.35227)",KUA19,
"POINT (47.94929 29.35956)",KUA20,
"POINT (47.96505 29.349981)",KUA21,
"POINT (48.462993 28.758375)",KUA22,
"POINT (48.372222 28.538889)",ASVIR,ASVIR (Fix)
"POINT (47.93216 29.35227)",KUA23,
"POINT (47.94929 29.35956)",KUA24,
"POINT (47.96505 29.34998)",KUA25,
"POINT (48.354191 28.568212)",KUA26,
"POINT (48.180556 28.538889)",KUNRU,KUNRU (Fix)
"POINT (47.93216 29.35227)",KUA27,
"POINT (47.94929 29.35956)",KUA28,
"POINT (47.96505 29.34998)",KUA29,
"POINT (48.173362 28.57152)",KUA30,
"POINT (47.958056 28.620833)",KFR,KFR - WAFRA (VOR)
"POINT (48.05411 29.105568)",KUA31,
"POINT (47.904472 29.336623)",KUA32,
"POINT (47.89612 29.321677)",KUA33,
"POINT (47.956542 28.65409)",KUA34,
"POINT (47.490278 28.991389)",BONIM,BONIM (Fix)
"POINT (48.05411 29.105568)",KUA35,
"POINT (48.039849 29.094542)",KUA36,
"POINT (47.904472 29.336623)",KUA37,
"POINT (47.89612 29.321677)",KUA38,
"POINT (47.517915 29.014226)",KUA39,
"POINT (47.015556 29.188056)",BUBER,BUBER (Fix)
"POINT (48.05411 29.105568)",KUA40,
"POINT (48.039849 29.094542)",KUA41,
"POINT (47.904472 29.336623)",KUA42,
"POINT (47.89612 29.321677)",KUA43,
"POINT (47.053089 29.182506)",KUA44,
